ID;Nome do Produto;Categoria;Marca;Preço (R$);Custo Produção (R$);Margem Lucro (%);Consumo kWh;Eficiência;Peso (kg);Região Venda;Canal Venda;Promoção;Avaliação Cliente;Garantia (meses);Data da Venda;Tipo de Cliente;Forma de Pagamento;Fornecedor
120;Fogão modelo 337;Fogão;LG;1550,43;1281,35;21;246.59;B;74.44;Centro-Oeste;E-commerce;Não;4;24;28/05/2022;Revendedor;Boleto;Fornecedora Gamma
121;Máquina de Lavar modelo 883;Máquina de Lavar;Whirlpool;977,24;698,03;40;61.6;B;31.57;Centro-Oeste;Loja Física;Sim;5;24;27/05/2022;Revendedor;Dinheiro;Distribuidora Alfa
122;Secadora modelo 878;Secadora;Brastemp;2021,65;1821,31;11;111.28;B;6.24;Norte;E-commerce;Sim;4;18;01/12/2023;Revendedor;Dinheiro;Distribuidora Epsilon
123;Geladeira modelo 603;Geladeira;Brastemp;1340,64;1197,00;12;77.33;A;56.39;Centro-Oeste;Loja Física;Sim;4;12;03/10/2023;Consumidor Final;PIX;Distribuidora Alfa
124;Secadora modelo 399;Secadora;Electrolux;2147,82;1627,14;32;221.84;C;28.23;Nordeste;Loja Física;Sim;1;24;24/07/2023;Revendedor;PIX;Fornecedora Gamma
125;Fogão modelo 609;Fogão;Samsung;2074,54;1803,95;15;407.57;D;50.7;Sudeste;Loja Física;Não;5;24;29/12/2022;Consumidor Final;PIX;Distribuidora Beta
126;Secadora modelo 895;Secadora;Philco;418,48;284,68;47;307.02;D;56.45;Norte;Loja Física;Sim;2;36;19/11/2023;Consumidor Final;PIX;Distribuidora Beta
127;Máquina de Lavar modelo 668;Máquina de Lavar;Electrolux;1665,22;1271,16;31;283.26;A;95.64;Norte;E-commerce;Não;2;24;03/10/2023;Consumidor Final;PIX;Distribuidora Beta
128;Fogão modelo 926;Fogão;Samsung;2714,27;1911,46;42;381.67;D;20.28;Sudeste;Loja Física;Não;2;36;24/05/2023;Revendedor;Boleto;Fornecedora Gamma
129;Geladeira modelo 852;Geladeira;LG;660,81;475,40;39;303.95;D;97.9;Sudeste;Loja Física;Sim;5;24;06/08/2022;Revendedor;Dinheiro;Distribuidora Alfa
130;Micro-ondas modelo 299;Micro-ondas;Samsung;1268,77;932,92;36;242.51;C;80.85;Nordeste;Loja Física;Não;3;24;09/05/2022;Consumidor Final;Boleto;Fornecedor Delta
131;Fogão modelo 713;Fogão;Brastemp;583,95;521,38;12;130.35;C;82.46;Nordeste;Loja Física;Não;4;12;13/11/2023;Consumidor Final;Boleto;Distribuidora Epsilon
132;Secadora modelo 819;Secadora;Consul;2212,17;1975,15;12;488.38;C;36.17;Norte;Loja Física;Não;2;24;10/02/2023;Consumidor Final;Boleto;Distribuidora Alfa
133;Máquina de Lavar modelo 422;Máquina de Lavar;LG;2270,72;1940,79;17;433.66;C;30.83;Sudeste;E-commerce;Sim;4;36;20/09/2023;Revendedor;Dinheiro;Distribuidora Epsilon
134;Máquina de Lavar modelo 281;Máquina de Lavar;Consul;861,17;694,49;24;77.9;C;22.46;Sudeste;E-commerce;Sim;1;18;12/08/2023;Revendedor;Boleto;Fornecedora Gamma
135;Fogão modelo 906;Fogão;Consul;1829,37;1252,99;46;225.74;D;57.11;Norte;Loja Física;Sim;3;18;12/06/2023;Revendedor;Boleto;Distribuidora Epsilon
136;Máquina de Lavar modelo 722;Máquina de Lavar;Brastemp;1324,24;1193,01;11;193.33;D;62.14;Sudeste;E-commerce;Não;2;12;13/03/2023;Consumidor Final;Dinheiro;Fornecedor Delta
137;Máquina de Lavar modelo 614;Máquina de Lavar;LG;1185,62;790,41;50;83.88;B;17.13;Sudeste;Loja Física;Sim;3;36;24/10/2023;Revendedor;Boleto;Distribuidora Epsilon
138;Fogão modelo 101;Fogão;LG;1583,19;1199,39;32;165.53;C;13.14;Nordeste;E-commerce;Não;5;36;01/08/2023;Consumidor Final;Dinheiro;Distribuidora Beta
139;Secadora modelo 535;Secadora;Brastemp;2513,47;1963,65;28;452.96;B;5.63;Nordeste;Loja Física;Sim;4;36;23/07/2023;Revendedor;Cartão;Distribuidora Beta
140;Máquina de Lavar modelo 317;Máquina de Lavar;Samsung;1257,04;938,09;34;427.9;C;25.99;Sudeste;Loja Física;Não;3;18;16/04/2022;Consumidor Final;PIX;Distribuidora Alfa
141;Ar Condicionado modelo 752;Ar Condicionado;Consul;772,79;638,67;21;62.52;B;59.32;Norte;E-commerce;Não;2;18;05/10/2023;Revendedor;Boleto;Distribuidora Alfa
142;Máquina de Lavar modelo 636;Máquina de Lavar;Whirlpool;1137,02;902,40;26;155.03;B;35.21;Sul;Loja Física;Não;4;36;22/12/2022;Consumidor Final;Cartão;Distribuidora Beta
143;Micro-ondas modelo 473;Micro-ondas;Consul;2423;1682,64;44;414.37;D;75.19;Sudeste;Loja Física;Não;4;12;08/01/2023;Revendedor;Cartão;Distribuidora Beta
144;Fogão modelo 386;Fogão;Samsung;1061,52;737,17;44;341.63;B;11.08;Nordeste;Loja Física;Sim;5;12;26/12/2023;Consumidor Final;Boleto;Fornecedor Delta
145;Secadora modelo 970;Secadora;Electrolux;1204,34;1075,30;12;250.59;B;46.16;Sudeste;E-commerce;Não;5;24;06/07/2023;Revendedor;Dinheiro;Fornecedor Delta
146;Ar Condicionado modelo 734;Ar Condicionado;LG;1504,91;1010,01;49;468.17;B;31.95;Sul;E-commerce;Sim;5;24;21/10/2022;Consumidor Final;Boleto;Fornecedor Delta
147;Fogão modelo 591;Fogão;Samsung;1157,01;933,07;24;144.48;B;99.34;Nordeste;E-commerce;Não;4;12;02/11/2023;Consumidor Final;Boleto;Fornecedor Delta
148;Geladeira modelo 408;Geladeira;Electrolux;1860,35;1464,84;27;361.97;A;83.28;Sul;E-commerce;Sim;1;12;28/06/2022;Consumidor Final;Boleto;Distribuidora Beta
149;Máquina de Lavar modelo 712;Máquina de Lavar;Consul;2557,12;1937,21;32;235.32;D;97.62;Sudeste;Loja Física;Não;4;12;24/10/2023;Consumidor Final;Boleto;Distribuidora Epsilon
150;Ar Condicionado modelo 666;Ar Condicionado;Consul;743,23;657,73;13;394.84;B;18.21;Nordeste;E-commerce;Sim;2;36;03/10/2022;Revendedor;Boleto;Distribuidora Alfa
151;Secadora modelo 188;Secadora;Electrolux;1849,97;1651,76;12;78.75;A;50.66;Norte;E-commerce;Sim;2;12;01/05/2023;Revendedor;Cartão;Fornecedor Delta
152;Micro-ondas modelo 787;Micro-ondas;LG;1714,61;1350,09;27;428.29;A;69.26;Sul;Loja Física;Não;2;36;15/01/2023;Consumidor Final;Boleto;Distribuidora Beta
153;Secadora modelo 939;Secadora;Samsung;1096,51;824,44;33;228.85;B;89.14;Centro-Oeste;E-commerce;Não;1;24;14/06/2023;Revendedor;Dinheiro;Distribuidora Alfa
154;Ar Condicionado modelo 725;Ar Condicionado;Consul;2257,13;1589,53;42;207.41;B;87.41;Norte;E-commerce;Não;1;12;28/05/2023;Consumidor Final;Cartão;Fornecedora Gamma
155;Máquina de Lavar modelo 699;Máquina de Lavar;Whirlpool;1520,03;1027,05;48;463.43;B;75.81;Sul;E-commerce;Sim;3;18;31/03/2022;Revendedor;PIX;Fornecedor Delta
156;Micro-ondas modelo 895;Micro-ondas;Whirlpool;1663,22;1299,39;28;85.02;A;74.58;Sudeste;Loja Física;Não;5;36;29/08/2022;Revendedor;Boleto;Fornecedora Gamma
157;Ar Condicionado modelo 602;Ar Condicionado;Brastemp;2505,28;1670,19;50;223.88;D;66.15;Nordeste;E-commerce;Sim;4;12;18/04/2022;Consumidor Final;Cartão;Distribuidora Epsilon
158;Micro-ondas modelo 330;Micro-ondas;Electrolux;1575,75;1260,60;25;297.49;D;16.91;Sudeste;E-commerce;Não;2;24;06/03/2023;Revendedor;Dinheiro;Distribuidora Beta
159;Máquina de Lavar modelo 107;Máquina de Lavar;Samsung;2462;1953,97;26;151.67;C;80.64;Norte;E-commerce;Sim;2;18;11/12/2022;Consumidor Final;Boleto;Distribuidora Epsilon
160;Ar Condicionado modelo 200;Ar Condicionado;Philco;2286,71;1610,36;42;446.64;B;84.75;Centro-Oeste;Loja Física;Sim;5;24;19/02/2022;Revendedor;Cartão;Distribuidora Epsilon
161;Geladeira modelo 676;Geladeira;LG;1908,17;1502,50;27;56.93;B;90.13;Norte;E-commerce;Não;5;36;29/11/2023;Revendedor;Boleto;Distribuidora Alfa
162;Micro-ondas modelo 764;Micro-ondas;Electrolux;845,31;587,02;44;458.95;B;45.02;Sudeste;E-commerce;Sim;2;12;16/03/2022;Revendedor;PIX;Fornecedora Gamma
163;Fogão modelo 182;Fogão;Brastemp;2421,22;1984,61;22;206.92;B;93.87;Sudeste;E-commerce;Sim;2;12;14/01/2022;Revendedor;Cartão;Distribuidora Beta
164;Máquina de Lavar modelo 665;Máquina de Lavar;Philco;2552,65;1876,95;36;450.22;B;65.03;Sudeste;E-commerce;Sim;1;12;15/11/2022;Consumidor Final;Cartão;Distribuidora Alfa
165;Fogão modelo 336;Fogão;Brastemp;1268,88;983,63;29;236.69;C;56.62;Norte;Loja Física;Sim;4;18;04/07/2023;Consumidor Final;Cartão;Fornecedor Delta
166;Ar Condicionado modelo 197;Ar Condicionado;Electrolux;1603,18;1358,63;18;223.69;C;90.73;Nordeste;Loja Física;Não;5;24;07/07/2023;Consumidor Final;Boleto;Fornecedora Gamma
167;Micro-ondas modelo 656;Micro-ondas;Samsung;916,96;699,97;31;289.38;A;79.02;Sul;E-commerce;Não;2;12;24/06/2022;Revendedor;Boleto;Distribuidora Alfa
168;Máquina de Lavar modelo 230;Máquina de Lavar;Electrolux;1625,19;1343,13;21;77.43;A;72.45;Norte;E-commerce;Sim;2;12;14/02/2023;Consumidor Final;Boleto;Distribuidora Epsilon
169;Máquina de Lavar modelo 638;Máquina de Lavar;Consul;1803,78;1554,98;16;486.54;D;67.39;Nordeste;Loja Física;Sim;5;36;22/01/2022;Revendedor;Boleto;Fornecedora Gamma
170;Micro-ondas modelo 752;Micro-ondas;Whirlpool;526,4;395,79;33;434.67;B;11.61;Sudeste;E-commerce;Não;3;18;12/05/2023;Consumidor Final;PIX;Distribuidora Beta
171;Micro-ondas modelo 476;Micro-ondas;Samsung;2713,05;1897,24;43;163.75;D;29.51;Sudeste;Loja Física;Não;1;18;27/12/2022;Consumidor Final;Boleto;Distribuidora Beta
172;Ar Condicionado modelo 247;Ar Condicionado;Electrolux;483,96;340,82;42;397.21;C;36.95;Centro-Oeste;E-commerce;Sim;5;18;10/12/2023;Consumidor Final;Dinheiro;Distribuidora Beta
173;Secadora modelo 260;Secadora;LG;1451,75;1134,18;28;204.8;D;24.95;Centro-Oeste;Loja Física;Não;1;12;10/08/2023;Consumidor Final;Dinheiro;Fornecedor Delta
174;Fogão modelo 539;Fogão;Philco;1497,75;1143,32;31;345.9;C;68.13;Nordeste;E-commerce;Sim;5;12;15/12/2023;Revendedor;Dinheiro;Distribuidora Alfa
175;Fogão modelo 176;Fogão;Consul;1962,72;1443,18;36;409.41;C;64.23;Nordeste;Loja Física;Sim;1;36;18/04/2022;Revendedor;Dinheiro;Distribuidora Beta
176;Fogão modelo 601;Fogão;Samsung;1109,59;744,69;49;132.01;A;31.3;Nordeste;Loja Física;Não;2;12;26/04/2022;Consumidor Final;Cartão;Distribuidora Epsilon
177;Micro-ondas modelo 262;Micro-ondas;Electrolux;2614,67;1936,79;35;409.7;A;96.94;Sul;Loja Física;Não;3;24;19/04/2022;Consumidor Final;Cartão;Distribuidora Alfa
178;Máquina de Lavar modelo 135;Máquina de Lavar;Philco;1259,6;1032,46;22;455.83;C;72.32;Centro-Oeste;Loja Física;Não;3;36;05/11/2022;Consumidor Final;Boleto;Distribuidora Beta
179;Geladeira modelo 715;Geladeira;Samsung;810,19;698,44;16;456.23;B;23.7;Norte;Loja Física;Não;5;12;22/09/2022;Consumidor Final;PIX;Distribuidora Beta
180;Micro-ondas modelo 517;Micro-ondas;Consul;576,54;386,94;49;497.9;C;79.02;Norte;Loja Física;Não;1;24;06/09/2022;Consumidor Final;Boleto;Distribuidora Epsilon
181;Geladeira modelo 112;Geladeira;Samsung;1467,53;1265,11;16;178.51;D;18.94;Sudeste;E-commerce;Não;1;36;14/11/2022;Consumidor Final;PIX;Distribuidora Alfa
182;Fogão modelo 169;Fogão;Whirlpool;1001,46;741,82;35;280.97;A;30.22;Centro-Oeste;E-commerce;Sim;2;24;12/10/2023;Consumidor Final;PIX;Fornecedora Gamma
183;Ar Condicionado modelo 462;Ar Condicionado;Whirlpool;1178,14;927,67;27;334.42;D;73.42;Norte;E-commerce;Sim;2;12;18/04/2022;Consumidor Final;Dinheiro;Distribuidora Beta
184;Máquina de Lavar modelo 172;Máquina de Lavar;Electrolux;318,68;284,54;12;392.36;D;28.3;Norte;E-commerce;Não;3;18;07/10/2022;Revendedor;Dinheiro;Fornecedora Gamma
185;Máquina de Lavar modelo 803;Máquina de Lavar;Consul;1461,48;1238,54;18;105.88;B;85.96;Sul;E-commerce;Não;4;12;17/09/2022;Consumidor Final;Cartão;Distribuidora Alfa
186;Geladeira modelo 610;Geladeira;Whirlpool;1186,85;1032,04;15;346.87;D;53.85;Sul;Loja Física;Não;5;12;25/09/2022;Revendedor;PIX;Distribuidora Beta
187;Micro-ondas modelo 885;Micro-ondas;LG;2786,88;1935,33;44;157.03;A;11.22;Norte;E-commerce;Sim;5;36;31/10/2023;Revendedor;Cartão;Fornecedor Delta
188;Geladeira modelo 710;Geladeira;Samsung;2420,29;1876,19;29;67.36;D;20.46;Nordeste;E-commerce;Sim;1;36;09/05/2022;Revendedor;Dinheiro;Distribuidora Alfa
189;Fogão modelo 555;Fogão;Consul;2048,58;1506,31;36;102.63;C;53.64;Sul;E-commerce;Não;4;24;29/03/2022;Revendedor;Dinheiro;Fornecedor Delta
190;Máquina de Lavar modelo 298;Máquina de Lavar;Philco;1279;933,58;37;391.55;A;26.28;Centro-Oeste;E-commerce;Não;3;36;18/10/2023;Revendedor;Dinheiro;Fornecedora Gamma
191;Máquina de Lavar modelo 440;Máquina de Lavar;Consul;1034,23;789,49;31;236.25;B;38.35;Centro-Oeste;Loja Física;Sim;1;36;03/08/2022;Revendedor;Boleto;Fornecedor Delta
192;Geladeira modelo 952;Geladeira;Electrolux;592,09;477,49;24;422.05;C;93.41;Nordeste;E-commerce;Sim;4;24;28/08/2022;Consumidor Final;Cartão;Fornecedora Gamma
193;Secadora modelo 837;Secadora;Electrolux;1725,08;1554,13;11;187.97;B;22.2;Nordeste;Loja Física;Sim;1;18;25/08/2023;Revendedor;Dinheiro;Distribuidora Alfa
194;Geladeira modelo 471;Geladeira;Whirlpool;1675,92;1385,06;21;376.45;D;10.35;Centro-Oeste;Loja Física;Sim;5;12;20/04/2022;Revendedor;PIX;Distribuidora Beta
195;Ar Condicionado modelo 703;Ar Condicionado;Brastemp;2126,27;1427,03;49;210.95;C;66.34;Centro-Oeste;Loja Física;Sim;5;36;13/08/2023;Revendedor;Cartão;Distribuidora Epsilon
196;Geladeira modelo 599;Geladeira;Brastemp;2690,47;1978,29;36;65.16;C;7.03;Centro-Oeste;Loja Física;Não;1;24;08/12/2023;Revendedor;Cartão;Fornecedor Delta
197;Máquina de Lavar modelo 751;Máquina de Lavar;Philco;1251,43;933,90;34;78.75;D;29.58;Nordeste;E-commerce;Não;1;18;05/12/2023;Consumidor Final;PIX;Distribuidora Epsilon
198;Fogão modelo 753;Fogão;LG;674,99;548,77;23;256.17;C;44.74;Centro-Oeste;E-commerce;Sim;1;12;10/06/2023;Consumidor Final;Boleto;Distribuidora Epsilon
199;Fogão modelo 230;Fogão;Electrolux;2205,75;1778,83;24;242.68;B;91.74;Sul;E-commerce;Não;3;18;21/08/2023;Consumidor Final;PIX;Fornecedor Delta
200;Secadora modelo 364;Secadora;Samsung;864,59;584,18;48;109.94;B;52.16;Sudeste;E-commerce;Sim;3;24;08/02/2022;Consumidor Final;Dinheiro;Distribuidora Epsilon
201;Secadora modelo 837;Secadora;Consul;697,77;562,72;24;142.33;C;34.39;Nordeste;Loja Física;Sim;2;12;31/03/2023;Revendedor;Boleto;Fornecedor Delta
202;Ar Condicionado modelo 852;Ar Condicionado;Samsung;985,2;752,06;31;419.03;B;37.69;Norte;Loja Física;Não;3;12;16/04/2023;Revendedor;Cartão;Fornecedor Delta
203;Máquina de Lavar modelo 626;Máquina de Lavar;LG;670,01;496,30;35;332.7;C;94.92;Sudeste;E-commerce;Sim;4;12;06/10/2023;Consumidor Final;PIX;Distribuidora Alfa
204;Micro-ondas modelo 626;Micro-ondas;Electrolux;902,6;618,22;46;298.01;B;62.85;Sul;Loja Física;Não;4;12;25/11/2023;Consumidor Final;Cartão;Fornecedor Delta
205;Fogão modelo 992;Fogão;Consul;1274,96;1128,28;13;168.06;D;40.22;Nordeste;E-commerce;Sim;2;24;27/04/2022;Consumidor Final;Boleto;Distribuidora Alfa
206;Geladeira modelo 771;Geladeira;Philco;355,06;244,87;45;355.86;D;12.57;Nordeste;Loja Física;Não;2;12;07/06/2022;Consumidor Final;Boleto;Fornecedora Gamma
207;Geladeira modelo 954;Geladeira;Philco;1806,01;1212,09;49;339.21;A;36.19;Nordeste;Loja Física;Sim;4;18;07/07/2023;Consumidor Final;Boleto;Distribuidora Epsilon
208;Ar Condicionado modelo 232;Ar Condicionado;Samsung;349,47;314,84;11;54.95;B;39.3;Sudeste;E-commerce;Não;5;18;21/03/2023;Consumidor Final;Dinheiro;Distribuidora Epsilon
209;Geladeira modelo 117;Geladeira;Samsung;932,79;671,07;39;194.77;B;66.84;Sul;Loja Física;Não;2;24;15/01/2022;Revendedor;PIX;Distribuidora Alfa
210;Ar Condicionado modelo 376;Ar Condicionado;Electrolux;492,8;373,33;32;152.75;C;48.23;Sudeste;E-commerce;Não;3;36;27/12/2022;Revendedor;Boleto;Fornecedora Gamma
211;Micro-ondas modelo 181;Micro-ondas;LG;1401,46;1069,82;31;143.96;A;84.92;Nordeste;Loja Física;Não;1;12;07/03/2023;Consumidor Final;Dinheiro;Fornecedora Gamma
212;Geladeira modelo 881;Geladeira;Samsung;2475,83;1781,17;39;211.05;A;11.8;Sul;Loja Física;Sim;3;24;01/08/2023;Consumidor Final;Boleto;Fornecedor Delta
213;Secadora modelo 872;Secadora;Samsung;1012,34;733,58;38;105.87;A;80.52;Sul;E-commerce;Não;4;24;19/02/2022;Revendedor;Cartão;Distribuidora Beta
214;Micro-ondas modelo 439;Micro-ondas;Whirlpool;2551,75;1862,59;37;238.02;B;69.68;Centro-Oeste;E-commerce;Não;4;36;07/12/2023;Revendedor;Dinheiro;Fornecedora Gamma
215;Geladeira modelo 954;Geladeira;Consul;1199,5;1034,05;16;327.19;C;12.68;Sudeste;Loja Física;Sim;3;24;15/02/2022;Consumidor Final;Cartão;Fornecedor Delta
216;Micro-ondas modelo 400;Micro-ondas;Philco;2679,88;1941,94;38;370.58;B;55.67;Norte;E-commerce;Sim;2;12;21/09/2023;Consumidor Final;Cartão;Distribuidora Beta
217;Geladeira modelo 621;Geladeira;Samsung;632,92;458,64;38;305.63;D;93.36;Norte;Loja Física;Sim;2;24;01/09/2022;Revendedor;Boleto;Distribuidora Epsilon
218;Geladeira modelo 721;Geladeira;Philco;1612,59;1151,85;40;399.85;C;78.13;Norte;Loja Física;Não;4;18;03/07/2022;Consumidor Final;Boleto;Fornecedora Gamma
219;Fogão modelo 760;Fogão;LG;1149,8;871,06;32;142.43;D;24.77;Sul;Loja Física;Não;1;24;13/10/2023;Consumidor Final;Cartão;Distribuidora Epsilon
220;Geladeira modelo 668;Geladeira;Brastemp;1746,79;1247,71;40;281.63;B;67.56;Norte;Loja Física;Sim;2;12;21/11/2022;Consumidor Final;Cartão;Distribuidora Beta
221;Máquina de Lavar modelo 680;Máquina de Lavar;Electrolux;1444,58;1046,80;38;140.85;B;42.32;Centro-Oeste;Loja Física;Sim;1;18;08/01/2022;Consumidor Final;Dinheiro;Fornecedor Delta
222;Máquina de Lavar modelo 771;Máquina de Lavar;Samsung;1725,23;1306,99;32;119.53;B;67.72;Norte;Loja Física;Não;2;18;29/01/2022;Consumidor Final;Dinheiro;Fornecedora Gamma
223;Secadora modelo 425;Secadora;Electrolux;1184,06;1029,62;15;121.17;A;7.16;Nordeste;Loja Física;Não;2;36;22/07/2023;Revendedor;Dinheiro;Distribuidora Alfa
224;Máquina de Lavar modelo 957;Máquina de Lavar;Philco;1928,24;1555,03;24;316.61;A;88.99;Sudeste;Loja Física;Não;3;12;01/01/2023;Consumidor Final;Boleto;Fornecedora Gamma
225;Fogão modelo 308;Fogão;Consul;1115,33;878,21;27;324.41;C;23.51;Norte;E-commerce;Não;5;36;24/07/2023;Consumidor Final;Boleto;Fornecedora Gamma
226;Micro-ondas modelo 187;Micro-ondas;Brastemp;1261,3;1126,16;12;486.87;C;80.89;Sul;E-commerce;Não;4;36;01/05/2023;Consumidor Final;Cartão;Distribuidora Beta
227;Secadora modelo 391;Secadora;Whirlpool;2216,68;1878,54;18;141.88;C;60.11;Norte;E-commerce;Não;5;24;29/11/2022;Revendedor;Dinheiro;Fornecedor Delta
228;Máquina de Lavar modelo 742;Máquina de Lavar;LG;1283,28;950,58;35;459.37;A;93.94;Norte;E-commerce;Sim;1;12;10/09/2022;Revendedor;Cartão;Distribuidora Alfa
229;Micro-ondas modelo 615;Micro-ondas;LG;860,91;585,65;47;300.01;C;95.87;Sul;E-commerce;Sim;1;12;30/12/2022;Consumidor Final;Boleto;Distribuidora Beta
230;Máquina de Lavar modelo 523;Máquina de Lavar;Electrolux;1211,37;946,38;28;241.87;D;90.34;Sul;E-commerce;Sim;5;18;10/07/2022;Consumidor Final;Cartão;Fornecedora Gamma
231;Fogão modelo 728;Fogão;Whirlpool;2120,12;1452,14;46;179.0;D;99.4;Norte;Loja Física;Não;4;18;07/05/2023;Revendedor;Boleto;Distribuidora Alfa
232;Ar Condicionado modelo 559;Ar Condicionado;Consul;1579,9;1170,30;35;271.82;D;92.48;Sul;E-commerce;Sim;5;18;28/11/2023;Revendedor;Cartão;Distribuidora Alfa
233;Máquina de Lavar modelo 955;Máquina de Lavar;Electrolux;454,96;379,13;20;146.19;A;8.64;Sul;Loja Física;Sim;1;36;15/06/2022;Revendedor;Boleto;Distribuidora Epsilon
234;Ar Condicionado modelo 691;Ar Condicionado;Electrolux;2115,92;1602,97;32;196.09;C;9.17;Sul;E-commerce;Não;2;12;11/02/2022;Consumidor Final;Cartão;Distribuidora Epsilon
235;Fogão modelo 248;Fogão;Philco;2192,07;1648,17;33;186.37;C;73.6;Nordeste;E-commerce;Não;2;12;27/08/2022;Consumidor Final;Boleto;Distribuidora Epsilon
236;Fogão modelo 826;Fogão;Consul;411,78;305,02;35;242.56;B;16.08;Norte;Loja Física;Não;5;36;13/03/2022;Consumidor Final;Boleto;Fornecedora Gamma
237;Geladeira modelo 650;Geladeira;Electrolux;2004,42;1431,73;40;160.87;A;78.45;Norte;Loja Física;Não;4;36;13/10/2022;Revendedor;Dinheiro;Fornecedor Delta
238;Geladeira modelo 562;Geladeira;Philco;1088,57;788,82;38;384.31;A;25.45;Norte;Loja Física;Sim;4;12;30/06/2022;Revendedor;PIX;Distribuidora Alfa
239;Secadora modelo 489;Secadora;Brastemp;2461,4;1796,64;37;158.36;C;57.41;Sul;E-commerce;Não;4;12;06/11/2022;Revendedor;Cartão;Fornecedor Delta
